work_order_id,response_sequence,responded_date,satisfaction_score
WO-001339,1,2017-06-27,6
WO-001341,1,2017-06-24,5
WO-001341,2,2017-07-05,7
WO-001342,1,2017-06-27,7
WO-001343,1,2017-06-30,10
WO-001344,1,2017-06-26,7
WO-001345,1,2017-06-21,7
WO-001346,1,2017-07-06,6
WO-001348,1,2017-06-25,9
WO-001351,1,2017-07-01,8
WO-001358,1,2017-07-05,8
WO-001365,1,2017-06-29,5
WO-001369,1,2017-06-26,9
WO-001370,1,2017-07-02,7
WO-001371,1,2017-06-21,7
WO-001374,1,2017-07-04,8
WO-001375,1,2017-07-10,9
WO-001376,1,2017-07-09,5
WO-001377,1,2017-07-03,6
WO-001378,1,2017-07-10,5
WO-001378,2,2017-07-24,9
WO-001379,1,2017-06-18,9
WO-001381,1,2017-07-04,8
WO-001383,1,2017-06-28,8
WO-001384,1,2017-07-06,8
WO-001385,1,2017-07-02,10
WO-001389,1,2017-07-04,10
WO-001394,1,2017-07-14,5
WO-001396,1,2017-07-21,2
WO-001396,2,2017-07-28,6
WO-001398,1,2017-07-20,7
WO-001398,2,2017-08-17,5
WO-001401,1,2017-07-25,5
WO-001401,2,2017-08-16,9
WO-001405,1,2017-06-27,6
WO-001405,2,2017-07-16,6
WO-001407,1,2017-06-20,8
WO-001408,1,2017-07-12,7
WO-001409,1,2017-07-11,8
WO-001410,1,2017-07-01,7
WO-001411,1,2017-06-27,10
WO-001414,1,2017-06-27,6
WO-001415,1,2017-06-27,7
WO-001417,1,2017-06-23,9
WO-001418,1,2017-07-02,10
WO-001419,1,2017-07-02,9
WO-001421,1,2017-06-30,7
WO-001423,1,2017-07-07,8
WO-001424,1,2017-07-05,8
WO-001425,1,2017-07-03,8
WO-001426,1,2017-06-29,9
WO-001427,1,2017-06-27,6
WO-001429,1,2017-07-06,4
WO-001430,1,2017-06-27,6
WO-001430,2,2017-07-14,6
WO-001431,1,2017-06-28,6
WO-001432,1,2017-07-05,7
WO-001434,1,2017-06-28,8
WO-001435,1,2017-07-29,2
WO-001435,2,2017-08-19,3
WO-001437,1,2017-07-07,7
WO-001438,1,2017-07-16,8
WO-001439,1,2017-07-02,7
WO-001441,1,2017-07-01,10
WO-001442,1,2017-07-09,8
WO-001443,1,2017-07-15,6
WO-001447,1,2017-07-03,8
WO-001450,1,2017-07-07,7
WO-001452,1,2017-07-10,6
WO-001455,1,2017-06-27,7
WO-001456,1,2017-07-20,6
WO-001457,1,2017-07-07,6
WO-001460,1,2017-07-14,8
WO-001462,1,2017-07-16,8
WO-001463,1,2017-07-03,9
WO-001468,1,2017-07-15,7
WO-001469,1,2017-07-09,6
WO-001470,1,2017-07-18,7
WO-001473,1,2017-07-16,8
WO-001473,2,2017-07-31,7
WO-001478,1,2017-07-01,7
WO-001479,1,2017-07-15,7
WO-001481,1,2017-07-08,4
WO-001481,2,2017-08-05,7
WO-001483,1,2017-07-11,9
WO-001484,1,2017-07-15,6
WO-001487,1,2017-07-08,8
WO-001488,1,2017-07-28,10
WO-001489,1,2017-07-02,7
WO-001490,1,2017-07-01,7
WO-001494,1,2017-07-17,7
WO-001497,1,2017-07-03,9
WO-001497,2,2017-07-12,8
WO-001498,1,2017-07-18,6
WO-001500,1,2017-07-04,7
WO-001501,1,2017-07-18,8
WO-001501,2,2017-08-16,8
WO-001502,1,2017-07-21,4
WO-001502,2,2017-08-15,8
WO-001503,1,2017-08-08,6
WO-001504,1,2017-07-19,8
WO-001505,1,2017-07-22,7
WO-001506,1,2017-07-18,5
WO-001506,2,2017-07-25,9
WO-001507,1,2017-07-09,7
WO-001510,1,2017-07-11,6
WO-001511,1,2017-07-18,9
WO-001511,2,2017-08-13,10
WO-001512,1,2017-07-06,7
WO-001514,1,2017-07-08,6
WO-001516,1,2017-07-19,10
WO-001516,2,2017-08-11,9
WO-001517,1,2017-07-17,8
WO-001521,1,2017-07-08,8
WO-001522,1,2017-07-21,7
WO-001523,1,2017-07-12,5
WO-001523,2,2017-07-30,10
WO-001524,1,2017-07-06,7
WO-001525,1,2017-07-26,9
WO-001526,1,2017-07-31,6
WO-001527,1,2017-07-18,6
WO-001529,1,2017-07-13,7
WO-001533,1,2017-07-19,10
WO-001534,1,2017-07-18,8
WO-001534,2,2017-08-07,9
WO-001535,1,2017-07-09,6
WO-001536,1,2017-07-26,3
WO-001536,2,2017-08-20,7
WO-001538,1,2017-07-13,4
WO-001538,2,2017-08-08,10
WO-001539,1,2017-07-21,8
WO-001540,1,2017-07-20,7
WO-001542,1,2017-07-18,7
WO-001546,1,2017-07-14,10
WO-001546,2,2017-08-12,10
WO-001549,1,2017-07-16,10
WO-001550,1,2017-07-16,7
WO-001551,1,2017-07-28,8
WO-001552,1,2017-07-21,8
WO-001553,1,2017-07-26,5
WO-001553,2,2017-08-16,7
WO-001555,1,2017-07-20,9
WO-001556,1,2017-07-25,9
WO-001559,1,2017-08-01,8
WO-001560,1,2017-07-25,8
WO-001563,1,2017-07-30,7
WO-001566,1,2017-07-15,8
WO-001568,1,2017-07-24,7
WO-001569,1,2017-07-21,9
WO-001570,1,2017-07-31,7
WO-001572,1,2017-07-20,7
WO-001573,1,2017-07-27,10
WO-001577,1,2017-07-22,6
WO-001578,1,2017-07-24,7
WO-001584,1,2017-08-01,9
WO-001586,1,2017-07-26,8
WO-001588,1,2017-08-02,7
WO-001589,1,2017-08-10,4
WO-001589,2,2017-08-18,5
WO-001590,1,2017-07-16,6
WO-001591,1,2017-08-01,9
WO-001592,1,2017-07-30,7
WO-001594,1,2017-07-20,7
WO-001597,1,2017-08-06,6
WO-001598,1,2017-07-17,7
WO-001601,1,2017-07-18,8
WO-001605,1,2017-07-18,7
WO-001606,1,2017-07-25,10
WO-001607,1,2017-07-19,7
WO-001609,1,2017-08-10,6
WO-001610,1,2017-07-24,7
WO-001612,1,2017-07-27,7
WO-001618,1,2017-07-10,7
WO-001619,1,2017-07-13,9
WO-001621,1,2017-07-26,9
WO-001624,1,2017-07-30,8
WO-001625,1,2017-07-31,10
WO-001627,1,2017-08-02,7
WO-001629,1,2017-07-27,9
WO-001630,1,2017-07-29,7
WO-001632,1,2017-07-24,5
WO-001632,2,2017-08-10,7
WO-001633,1,2017-07-28,10
WO-001634,1,2017-07-28,9
WO-001635,1,2017-07-29,10
WO-001636,1,2017-07-18,7
WO-001636,2,2017-08-05,6
WO-001637,1,2017-08-16,4
WO-001637,2,2017-09-07,10
WO-001639,1,2017-07-19,6
WO-001640,1,2017-08-06,10
WO-001641,1,2017-08-02,10
WO-001643,1,2017-07-19,8
WO-001644,1,2017-07-31,7
WO-001645,1,2017-08-07,4
WO-001645,2,2017-08-31,8
WO-001647,1,2017-07-16,8
WO-001650,1,2017-07-24,10
WO-001651,1,2017-08-10,5
WO-001651,2,2017-09-06,9
WO-001652,1,2017-08-05,6
WO-001654,1,2017-07-12,9
WO-001655,1,2017-08-05,7
WO-001656,1,2017-07-23,8
WO-001658,1,2017-07-27,8
WO-001659,1,2017-08-02,6
WO-001660,1,2017-07-25,9
WO-001663,1,2017-07-30,7
WO-001664,1,2017-08-03,9
WO-001666,1,2017-07-26,6
WO-001668,1,2017-07-31,8
WO-001670,1,2017-08-06,10
WO-001671,1,2017-07-25,7
WO-001672,1,2017-08-14,8
WO-001673,1,2017-07-28,7
WO-001674,1,2017-08-17,5
WO-001674,2,2017-09-07,9
WO-001675,1,2017-08-29,6
WO-001678,1,2017-08-23,3
WO-001678,2,2017-09-20,5
WO-001679,1,2017-08-08,8
WO-001681,1,2017-07-30,9
WO-001684,1,2017-07-27,6
WO-001685,1,2017-07-27,8
WO-001687,1,2017-08-09,9
WO-001688,1,2017-08-06,3
WO-001688,2,2017-08-19,7
WO-001689,1,2017-08-09,5
WO-001692,1,2017-07-18,9
WO-001694,1,2017-07-24,7
WO-001695,1,2017-07-23,9
WO-001701,1,2017-08-03,8
WO-001702,1,2017-07-24,6
WO-001704,1,2017-07-19,8
WO-001706,1,2017-07-25,6
WO-001717,1,2017-07-29,8
WO-001719,1,2017-07-30,6
WO-001721,1,2017-08-09,9
WO-001724,1,2017-07-28,10
WO-001725,1,2017-08-05,6
WO-001726,1,2017-07-30,8
WO-001727,1,2017-07-27,9
WO-001728,1,2017-08-08,7
WO-001729,1,2017-08-08,10
WO-001730,1,2017-07-30,10
WO-001731,1,2017-08-08,8
WO-001732,1,2017-08-11,8
WO-001732,2,2017-09-01,7
WO-001733,1,2017-08-03,8
WO-001734,1,2017-08-09,10
WO-001736,1,2017-08-15,10
WO-001737,1,2017-07-29,7
WO-001739,1,2017-08-09,5
WO-001739,2,2017-09-01,8
WO-001744,1,2017-07-28,9
WO-001745,1,2017-08-03,9
WO-001746,1,2017-08-06,9
WO-001751,1,2017-08-03,9
WO-001752,1,2017-08-16,5
WO-001752,2,2017-09-06,7
WO-001754,1,2017-07-24,8
WO-001756,1,2017-08-07,8
WO-001758,1,2017-08-03,7
WO-001759,1,2017-08-20,5
WO-001759,2,2017-09-05,8
WO-001760,1,2017-08-05,5
WO-001760,2,2017-08-29,10
WO-001761,1,2017-07-26,7
WO-001764,1,2017-08-09,6
WO-001768,1,2017-08-07,6
WO-001769,1,2017-08-06,7
WO-001770,1,2017-08-16,9
WO-001771,1,2017-08-04,6
WO-001773,1,2017-07-29,8
WO-001774,1,2017-08-09,9
WO-001776,1,2017-08-08,8
WO-001777,1,2017-08-13,7
WO-001778,1,2017-08-10,9
WO-001779,1,2017-08-19,8
WO-001781,1,2017-08-18,8
WO-001782,1,2017-07-27,7
WO-001788,1,2017-07-29,9
WO-001789,1,2017-08-22,2
WO-001789,2,2017-09-13,5
WO-001790,1,2017-08-04,8
WO-001792,1,2017-08-03,7
WO-001796,1,2017-07-27,8
WO-001797,1,2017-07-31,9
WO-001799,1,2017-08-18,9
WO-001800,1,2017-08-16,4
WO-001800,2,2017-09-03,7
WO-001801,1,2017-07-30,7
WO-001802,1,2017-08-15,8
WO-001803,1,2017-08-16,6
WO-001804,1,2017-08-05,8
WO-001806,1,2017-08-12,3
WO-001806,2,2017-09-02,9
WO-001807,1,2017-08-09,7
WO-001808,1,2017-07-27,9
WO-001810,1,2017-08-22,6
WO-001811,1,2017-08-01,7
WO-001812,1,2017-08-09,10
WO-001814,1,2017-08-03,7
WO-001815,1,2017-08-16,9
WO-001816,1,2017-08-04,10
WO-001818,1,2017-08-15,8
WO-001819,1,2017-08-24,7
WO-001822,1,2017-08-19,6
WO-001825,1,2017-08-20,9
WO-001826,1,2017-08-15,8
WO-001828,1,2017-08-13,10
WO-001830,1,2017-07-29,8
WO-001833,1,2017-08-15,10
WO-001834,1,2017-08-03,6
WO-001837,1,2017-08-13,8
WO-001839,1,2017-08-18,7
WO-001840,1,2017-08-03,7
WO-001845,1,2017-08-21,9
WO-001847,1,2017-08-19,7
WO-001850,1,2017-08-04,10
WO-001851,1,2017-08-10,6
WO-001857,1,2017-08-12,10
WO-001858,1,2017-08-13,6
WO-001858,2,2017-08-31,6
WO-001859,1,2017-08-19,7
WO-001860,1,2017-08-04,7
WO-001861,1,2017-08-09,8
WO-001862,1,2017-08-02,7
WO-001864,1,2017-08-11,8
WO-001865,1,2017-08-21,7
WO-001866,1,2017-08-10,7
WO-001866,2,2017-08-25,10
WO-001867,1,2017-08-28,5
WO-001871,1,2017-08-21,5
WO-001871,2,2017-09-14,7
WO-001872,1,2017-08-04,8
WO-001879,1,2017-08-08,10
WO-001883,1,2017-08-21,8
WO-001885,1,2017-08-22,10
WO-001888,1,2017-08-25,10
WO-001889,1,2017-08-20,8
WO-001893,1,2017-08-28,10
WO-001896,1,2017-09-10,4
WO-001896,2,2017-09-18,8
WO-001898,1,2017-08-25,7
WO-001899,1,2017-08-18,6
WO-001901,1,2017-08-18,9
WO-001903,1,2017-08-09,9
WO-001906,1,2017-08-25,10
WO-001910,1,2017-09-12,8
WO-001912,1,2017-09-01,3
WO-001912,2,2017-09-22,10
WO-001913,1,2017-08-08,7
WO-001917,1,2017-08-15,8
WO-001918,1,2017-08-25,8
WO-001919,1,2017-08-11,9
WO-001922,1,2017-08-24,10
WO-001924,1,2017-09-01,4
WO-001924,2,2017-09-10,8
WO-001925,1,2017-08-12,7
WO-001926,1,2017-08-22,6
WO-001928,1,2017-08-14,8
WO-001929,1,2017-08-18,10
WO-001929,2,2017-09-14,10
WO-001931,1,2017-08-10,8
WO-001932,1,2017-09-23,5
WO-001935,1,2017-08-08,8
WO-001937,1,2017-08-23,6
WO-001943,1,2017-08-08,8
WO-001945,1,2017-08-30,8
WO-001946,1,2017-08-31,8
WO-001947,1,2017-08-14,7
WO-001949,1,2017-08-21,7
WO-001950,1,2017-08-26,9
WO-001951,1,2017-08-17,7
WO-001952,1,2017-08-19,7
WO-001955,1,2017-08-26,6
WO-001956,1,2017-08-25,8
WO-001958,1,2017-08-10,7
WO-001959,1,2017-08-28,5
WO-001959,2,2017-09-25,7
WO-001961,1,2017-08-09,10
WO-001961,2,2017-08-26,10
WO-001963,1,2017-09-06,6
WO-001964,1,2017-08-24,9
WO-001967,1,2017-08-13,8
WO-001968,1,2017-08-22,8
WO-001973,1,2017-08-29,7
WO-001974,1,2017-08-09,9
WO-001975,1,2017-08-26,8
WO-001977,1,2017-08-19,5
WO-001981,1,2017-08-16,9
WO-001982,1,2017-08-18,10
WO-001983,1,2017-08-26,5
WO-001983,2,2017-09-12,9
WO-001984,1,2017-08-25,9
WO-001985,1,2017-08-23,8
WO-001986,1,2017-08-23,7
WO-001987,1,2017-08-29,7
WO-001987,2,2017-09-06,9
WO-001988,1,2017-08-23,6
WO-001989,1,2017-09-07,7
WO-001990,1,2017-08-21,10
WO-001991,1,2017-08-31,10
WO-001992,1,2017-08-20,10
WO-001995,1,2017-08-29,7
WO-001996,1,2017-08-27,7
WO-001998,1,2017-08-27,9
WO-002002,1,2017-08-29,10
WO-002003,1,2017-09-11,4
WO-002003,2,2017-10-04,9
WO-002008,1,2017-08-25,4
WO-002011,1,2017-08-27,10
WO-002013,1,2017-08-19,9
WO-002018,1,2017-09-05,10
WO-002019,1,2017-09-06,4
WO-002019,2,2017-09-25,6
WO-002020,1,2017-08-24,7
WO-002021,1,2017-08-31,7
WO-002023,1,2017-09-02,8
WO-002030,1,2017-09-18,4
WO-002030,2,2017-10-09,7
WO-002031,1,2017-09-03,9
WO-002033,1,2017-09-02,5
WO-002034,1,2017-08-31,10
WO-002035,1,2017-08-25,7
WO-002036,1,2017-09-04,5
WO-002036,2,2017-09-12,9
WO-002037,1,2017-09-03,9
WO-002038,1,2017-08-28,9
WO-002039,1,2017-09-04,9
WO-002040,1,2017-08-22,7
WO-002044,1,2017-08-29,7
WO-002045,1,2017-09-03,10
WO-002048,1,2017-09-06,5
WO-002048,2,2017-09-20,8
WO-002050,1,2017-09-01,8
WO-002051,1,2017-09-02,8
WO-002054,1,2017-09-05,5
WO-002054,2,2017-09-20,8
WO-002055,1,2017-08-20,7
WO-002057,1,2017-09-04,7
WO-002062,1,2017-09-06,8
WO-002063,1,2017-08-24,6
WO-002065,1,2017-09-17,4
WO-002065,2,2017-10-02,8
WO-002067,1,2017-08-23,8
WO-002069,1,2017-09-13,7
WO-002070,1,2017-09-02,9
WO-002071,1,2017-08-28,8
WO-002072,1,2017-09-05,6
WO-002073,1,2017-09-09,7
WO-002074,1,2017-08-30,8
WO-002074,2,2017-09-06,8
WO-002075,1,2017-09-08,8
WO-002078,1,2017-09-29,4
WO-002079,1,2017-08-30,7
WO-002081,1,2017-09-15,1
WO-002081,2,2017-09-28,3
WO-002083,1,2017-09-13,6
WO-002084,1,2017-09-06,7
WO-002087,1,2017-08-28,9
WO-002088,1,2017-09-09,8
WO-002089,1,2017-09-06,5
WO-002089,2,2017-09-23,7
WO-002091,1,2017-09-05,7
WO-002093,1,2017-09-08,9
WO-002094,1,2017-09-26,4
WO-002094,2,2017-10-09,6
WO-002095,1,2017-08-27,8
WO-002096,1,2017-08-30,7
WO-002097,1,2017-08-30,5
WO-002097,2,2017-09-13,8
WO-002098,1,2017-09-13,6
WO-002100,1,2017-09-06,9
WO-002100,2,2017-09-27,8
WO-002102,1,2017-09-10,10
WO-002103,1,2017-09-06,9
WO-002109,1,2017-08-27,8
WO-002111,1,2017-08-28,5
WO-002111,2,2017-09-07,6
WO-002112,1,2017-09-12,5
WO-002112,2,2017-09-24,10
WO-002114,1,2017-09-08,7
WO-002115,1,2017-08-31,8
WO-002118,1,2017-09-03,10
WO-002121,1,2017-09-06,9
WO-002123,1,2017-08-28,10
WO-002125,1,2017-09-29,6
WO-002128,1,2017-09-06,8
WO-002132,1,2017-09-03,6
WO-002134,1,2017-09-01,6
WO-002135,1,2017-09-07,8
WO-002140,1,2017-09-03,8
WO-002140,2,2017-09-16,6
WO-002141,1,2017-09-06,6
WO-002141,2,2017-09-29,7
WO-002144,1,2017-09-10,8
WO-002145,1,2017-09-04,8
WO-002146,1,2017-09-03,7
WO-002147,1,2017-09-21,6
WO-002147,2,2017-10-05,6
WO-002148,1,2017-09-19,6
WO-002153,1,2017-09-06,8
WO-002156,1,2017-09-13,7
WO-002159,1,2017-09-09,9
WO-002162,1,2017-09-07,7
WO-002163,1,2017-09-13,7
WO-002165,1,2017-09-20,7
WO-002166,1,2017-09-08,10
WO-002166,2,2017-09-30,9
WO-002167,1,2017-08-30,6
WO-002169,1,2017-09-10,8
WO-002173,1,2017-09-09,8
WO-002175,1,2017-09-07,8
WO-002176,1,2017-09-11,5
WO-002176,2,2017-10-04,6
WO-002179,1,2017-09-16,6
WO-002180,1,2017-09-17,4
WO-002180,2,2017-10-15,7
WO-002182,1,2017-09-10,10
WO-002183,1,2017-09-06,8
WO-002184,1,2017-09-16,9
WO-002186,1,2017-09-13,6
WO-002189,1,2017-09-08,9
WO-002192,1,2017-09-10,10
WO-002194,1,2017-09-24,3
WO-002194,2,2017-10-07,6
WO-002196,1,2017-09-02,8
WO-002199,1,2017-09-16,9
WO-002201,1,2017-09-23,6
WO-002204,1,2017-09-18,6
WO-002207,1,2017-09-14,8
WO-002212,1,2017-09-04,8
WO-002214,1,2017-09-17,7
WO-002216,1,2017-09-27,8
WO-002217,1,2017-09-28,7
WO-002219,1,2017-09-22,6
WO-002220,1,2017-09-09,10
WO-002221,1,2017-09-06,4
WO-002221,2,2017-09-29,6
WO-002222,1,2017-09-24,8
WO-002224,1,2017-09-10,10
WO-002226,1,2017-09-07,8
WO-002230,1,2017-09-26,10
WO-002231,1,2017-09-21,10
WO-002231,2,2017-10-03,10
WO-002232,1,2017-09-11,10
WO-002233,1,2017-09-19,7
WO-002234,1,2017-09-25,9
WO-002235,1,2017-09-19,7
WO-002236,1,2017-09-26,8
WO-002237,1,2017-09-17,7
WO-002242,1,2017-09-28,7
WO-002243,1,2017-09-21,8
WO-002247,1,2017-10-10,6
WO-002248,1,2017-09-13,7
WO-002249,1,2017-09-22,9
WO-002255,1,2017-09-10,7
WO-002259,1,2017-09-29,7
WO-002260,1,2017-09-08,7
WO-002262,1,2017-09-20,8
WO-002264,1,2017-09-27,2
WO-002266,1,2017-09-13,4
WO-002266,2,2017-09-28,8
WO-002267,1,2017-10-01,8
WO-002268,1,2017-09-23,9
WO-002270,1,2017-10-01,8
WO-002271,1,2017-09-14,7
WO-002272,1,2017-09-27,7
WO-002273,1,2017-09-14,9
WO-002274,1,2017-10-18,5
WO-002274,2,2017-11-04,8
WO-002277,1,2017-09-23,8
WO-002279,1,2017-09-19,7
WO-002281,1,2017-09-11,5
WO-002283,1,2017-09-20,5
WO-002283,2,2017-10-12,8
WO-002284,1,2017-09-19,8
WO-002285,1,2017-09-26,6
WO-002286,1,2017-09-28,9
WO-002289,1,2017-10-16,5
WO-002289,2,2017-11-13,9
WO-002290,1,2017-09-29,7
WO-002291,1,2017-09-29,10
WO-002293,1,2017-09-26,10
WO-002295,1,2017-09-19,8
WO-002296,1,2017-09-15,6
WO-002297,1,2017-10-01,10
WO-002298,1,2017-10-04,7
WO-002298,2,2017-10-11,8
WO-002301,1,2017-09-15,7
WO-002302,1,2017-09-25,8
WO-002304,1,2017-10-22,8
WO-002307,1,2017-10-05,8
WO-002311,1,2017-10-01,8
WO-002314,1,2017-09-18,6
WO-002316,1,2017-09-27,7
WO-002318,1,2017-10-02,7
WO-002319,1,2017-10-05,7
WO-002322,1,2017-09-23,10
WO-002326,1,2017-10-20,9
WO-002327,1,2017-09-20,7
WO-002328,1,2017-09-19,8
WO-002330,1,2017-09-21,9
WO-002331,1,2017-10-05,10
WO-002332,1,2017-10-10,8
WO-002333,1,2017-10-02,8
WO-002334,1,2017-09-29,8
WO-002335,1,2017-10-05,8
WO-002336,1,2017-10-05,8
WO-002338,1,2017-10-24,5
WO-002338,2,2017-11-02,7
WO-002341,1,2017-09-30,9
WO-002342,1,2017-10-09,9
WO-002343,1,2017-10-02,5
WO-002343,2,2017-10-25,9
WO-002346,1,2017-10-08,10
WO-002347,1,2017-10-06,8
WO-002349,1,2017-10-04,10
WO-002351,1,2017-10-07,5
WO-002351,2,2017-11-01,10
WO-002352,1,2017-10-03,7
WO-002353,1,2017-10-15,5
WO-002355,1,2017-09-21,9
WO-002356,1,2017-09-26,7
WO-002357,1,2017-10-07,6
WO-002359,1,2017-10-05,9
WO-002360,1,2017-10-11,6
WO-002361,1,2017-10-14,9
WO-002362,1,2017-10-25,5
WO-002362,2,2017-11-16,8
WO-002364,1,2017-10-17,5
WO-002364,2,2017-11-04,8
WO-002366,1,2017-10-19,5
WO-002367,1,2017-09-22,10
WO-002368,1,2017-10-14,6
WO-002369,1,2017-10-17,5
WO-002369,2,2017-10-30,10
WO-002372,1,2017-09-25,6
WO-002374,1,2017-09-23,7
WO-002375,1,2017-10-05,10
WO-002376,1,2017-10-08,6
WO-002378,1,2017-10-18,3
WO-002387,1,2017-10-14,8
WO-002391,1,2017-10-09,8
WO-002392,1,2017-10-02,8
WO-002394,1,2017-09-27,9
WO-002395,1,2017-10-01,7
WO-002397,1,2017-10-01,7
WO-002401,1,2017-10-09,7
WO-002402,1,2017-10-28,6
WO-002402,2,2017-11-12,6
WO-002403,1,2017-09-30,9
WO-002405,1,2017-10-17,10
WO-002407,1,2017-09-27,4
WO-002407,2,2017-10-14,8
WO-002408,1,2017-10-09,9
WO-002411,1,2017-10-03,8
WO-002413,1,2017-10-10,7
WO-002414,1,2017-10-18,9
WO-002417,1,2017-10-15,10
WO-002418,1,2017-09-25,10
WO-002418,2,2017-10-18,10
WO-002419,1,2017-10-18,5
WO-002419,2,2017-11-13,8
WO-002421,1,2017-10-17,9
WO-002422,1,2017-10-01,9
WO-002423,1,2017-10-08,9
WO-002424,1,2017-09-30,10
WO-002425,1,2017-10-01,5
WO-002426,1,2017-10-16,7
WO-002427,1,2017-10-12,7
WO-002431,1,2017-10-08,8
WO-002434,1,2017-10-15,7
WO-002435,1,2017-09-30,7
WO-002437,1,2017-10-14,9
WO-002438,1,2017-09-30,9
WO-002440,1,2017-11-03,4
WO-002440,2,2017-11-29,7
WO-002441,1,2017-10-01,9
WO-002447,1,2017-10-18,6
WO-002451,1,2017-10-05,6
WO-002452,1,2017-10-08,9
WO-002458,1,2017-10-14,7
WO-002462,1,2017-10-17,9
WO-002466,1,2017-10-23,8
WO-002471,1,2017-10-11,5
WO-002471,2,2017-10-26,8
WO-002475,1,2017-10-11,7
WO-002476,1,2017-11-03,4
WO-002479,1,2017-10-26,9
WO-002480,1,2017-10-12,9
WO-002481,1,2017-10-07,7
WO-002486,1,2017-11-14,5
WO-002486,2,2017-12-10,9
WO-002487,1,2017-10-31,8
WO-002489,1,2017-10-13,7
WO-002490,1,2017-10-13,8
WO-002490,2,2017-11-06,8
WO-002491,1,2017-10-21,7
WO-002493,1,2017-10-22,5
WO-002494,1,2017-10-20,8
WO-002495,1,2017-10-25,6
WO-002496,1,2017-10-24,7
WO-002497,1,2017-10-15,10
WO-002497,2,2017-11-01,9
WO-002498,1,2017-10-24,9
WO-002499,1,2017-10-14,8
WO-002499,2,2017-11-10,8
WO-002500,1,2017-10-08,9
WO-002503,1,2017-10-24,6
WO-002504,1,2017-10-15,7
WO-002505,1,2017-10-29,6
WO-002506,1,2017-10-28,3
WO-002506,2,2017-11-11,7
WO-002507,1,2017-10-22,9
WO-002508,1,2017-10-07,6
WO-002511,1,2017-10-10,8
WO-002512,1,2017-11-04,2
WO-002512,2,2017-11-24,4
WO-002513,1,2017-10-23,9
WO-002514,1,2017-10-07,6
WO-002515,1,2017-10-24,6
WO-002516,1,2017-10-29,4
WO-002516,2,2017-11-27,5
WO-002519,1,2017-11-02,9
WO-002520,1,2017-10-10,7
WO-002521,1,2017-10-23,10
WO-002523,1,2017-10-22,6
WO-002525,1,2017-10-27,8
WO-002526,1,2017-10-14,8
WO-002530,1,2017-10-09,5
WO-002533,1,2017-10-13,7
WO-002535,1,2017-10-30,4
WO-002535,2,2017-11-09,10
WO-002536,1,2017-10-24,6
WO-002537,1,2017-10-15,7
WO-002538,1,2017-11-01,10
WO-002539,1,2017-10-25,5
WO-002539,2,2017-11-03,8
WO-002547,1,2017-10-25,6
WO-002549,1,2017-11-03,7
WO-002550,1,2017-11-03,3
WO-002550,2,2017-11-27,6
WO-002551,1,2017-10-27,8
WO-002559,1,2017-10-14,6
WO-002562,1,2017-11-03,7
WO-002565,1,2017-10-31,7
WO-002567,1,2017-10-27,6
WO-002568,1,2017-10-31,9
WO-002570,1,2017-10-26,7
WO-002571,1,2017-10-29,8
WO-002572,1,2017-10-25,7
WO-002573,1,2017-10-14,10
WO-002576,1,2017-10-29,4
WO-002576,2,2017-11-18,7
WO-002577,1,2017-10-27,7
WO-002577,2,2017-11-09,8
WO-002579,1,2017-10-28,6
WO-002580,1,2017-10-26,6
WO-002581,1,2017-10-12,7
WO-002584,1,2017-10-20,8
WO-002586,1,2017-11-05,8
WO-002592,1,2017-10-18,7
WO-002593,1,2017-10-23,7
WO-002594,1,2017-10-26,10
WO-002595,1,2017-10-28,8
WO-002597,1,2017-10-22,7
WO-002599,1,2017-10-20,10
WO-002599,2,2017-11-03,10
WO-002600,1,2017-11-07,3
WO-002600,2,2017-11-19,6
WO-002601,1,2017-11-07,10
WO-002602,1,2017-11-06,8
WO-002602,2,2017-11-27,10
WO-002603,1,2017-10-21,4
WO-002604,1,2017-11-05,9
WO-002605,1,2017-10-18,5
WO-002608,1,2017-11-02,6
WO-002609,1,2017-11-03,9
WO-002610,1,2017-11-17,6
WO-002611,1,2017-11-08,9
WO-002612,1,2017-10-24,9
WO-002614,1,2017-10-23,7
WO-002615,1,2017-10-16,8
WO-002617,1,2017-11-06,9
WO-002618,1,2017-11-03,9
WO-002619,1,2017-11-09,7
WO-002620,1,2017-10-29,9
WO-002622,1,2017-11-04,6
WO-002622,2,2017-11-19,7
WO-002623,1,2017-10-31,9
WO-002624,1,2017-10-21,6
WO-002625,1,2017-11-04,2
WO-002625,2,2017-12-01,5
WO-002627,1,2017-11-04,8
WO-002628,1,2017-11-13,4
WO-002628,2,2017-11-28,9
WO-002630,1,2017-11-03,10
WO-002633,1,2017-11-11,4
WO-002633,2,2017-11-24,7
WO-002639,1,2017-11-03,7
WO-002643,1,2017-10-24,8
WO-002644,1,2017-11-13,9
WO-002645,1,2017-11-02,9
WO-002646,1,2017-11-12,7
WO-002647,1,2017-10-29,6
WO-002649,1,2017-11-07,3
WO-002649,2,2017-11-16,5
WO-002653,1,2017-10-28,10
WO-002655,1,2017-11-02,10
WO-002657,1,2017-10-29,6
WO-002658,1,2017-11-07,4
WO-002658,2,2017-11-20,6
WO-002659,1,2017-10-26,10
WO-002660,1,2017-10-31,9
WO-002661,1,2017-11-07,8
WO-002662,1,2017-11-19,6
WO-002663,1,2017-10-22,7
WO-002664,1,2017-10-26,8
WO-002665,1,2017-10-26,8
